,Username,Konten,Lokasi
127,talijagad_id,@Asikirawan @AfifFuadS @DPP_PKB @cakimiNOW Yg mewajibkan itu siapa? Yg aku persoalkan itu statement mu yg bilang gak mau Cak Imin krn bawa2 NU ke politik...,Indonesia
128,BugisLie,"#Cakimin
#DPP_PKB https://t.co/ODy1xEtBeR",
129,Asikirawan,@talijagad_id @AfifFuadS @DPP_PKB @cakimiNOW Lah emang kalo NU wajib pilih cak imin? Lucu sekali anda menjudge org gasuka mbah hasyim. Minimal punya trck record walikota atau gubernur lah biar kita tau gimana kinerja calon pemimpin negeri ini.,Malang
130,Iswanpoluli2,@cakimiNOW Alhamdulillah.mantap pak cak imin dan PKB,
131,talijagad_id,@Jennifer_bogota @Asikirawan @AfifFuadS @DPP_PKB @cakimiNOW Ini buzzer gak mutu gelandangan politik yg hidupnya hanya buat mendengki Cak Imin itu ya Mbah @Bambangelf ?,Indonesia
132,billy4riez,"Cak Imin dan PKB Kirim Bantuan untuk Korban Gempa Turki, Adana Jadi Fokus https://t.co/8n7kdCQrSU",Jakarta
133,Wari_EL_Dawangi,"@AfifFuadS @DPP_PKB @cakimiNOW Cak Imin sudah berusaha keras narik simpati.
Tapi menurutku kurang natural.  Mungkin terlalu kepingin.","Desa Pedawang, Pekalongan."
134,radaraktual,"Cak Imin: Bakal Ada Koalisi Baru 3 Bukan ke Depan, Yang Terpecah Jadi Gabung https://t.co/dFVodLXuXy",
135,Anita65219720,"@keuangannews_id SAS justru bikin elektabilitas nyungsep
Cak Imin aja ogah gandeng SAS",
136,Tak_Ngerti_apa2,@OposisiCerdas Emang Cak Imin setuju. ?...kecuali ada tekanan spt yg disampaikan bang Deny Indrayana...ktk menyampaikan  hsl pembicaraan dgn @mohmahfudmd  beberapa hr yg lalu...ya mungkin saja...😀😀😀,
137,EnyPratiwi17,"Prabowo-Khofifah Dinilai Lebih Kompetitif Dibanding Cak Imin.

@prabowo

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
138,sutiknopkb,"Selamat memperingati Isra Mi'raj Nabi Muhammad SAW.

#isramiraj 
#cakimin 
#sutikno 
#sutiknopkb https://t.co/mDknEpiqe1",
139,andyyusuf22,Prabowo dan Khofifah Terhalang Cak Imin | https://t.co/HDi2LWh0lg - https://t.co/A9GhwqkXhi https://t.co/7k8ARkP2K3,Surabaya   
